"Search Criteria: "

"Filing Operator:",,,"APACHE CORPORATION (027200)",,,,,,District:,,Statewide
"Prod Month:",,," Feb 2016",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Gas,03,155953,"BIG -A- TAYLOR","KNESEK, E. UNIT","    1  ",,,43,1,,,44,439,439,"   02  "
,Oil,03,14299,"CALDWELL (AUSTIN CHALK)","BOX-KELLY UNIT",,,8146,117,176,171,"   01  ",122,474,474,"   02  "
,Oil,03,14812,"CALDWELL (AUSTIN CHALK)","LEMON, W.C.",,,,85,4,49,"   01  ",40,0,,
,Oil,03,15208,"CALDWELL (AUSTIN CHALK)","CORA MASON UNIT",,,,246,125,187,"   01  ",184,351,351,"   02  "
,Oil,03,24976,"COOKS POINT (WOODBINE)","WILLIE LEE TARVER ""A"" UNIT",,,,343,60,176,"   01  ",227,1,1,"   02  "
,Oil,03,25006,"COOKS POINT (WOODBINE)","GIFFORD-HILL ""A""",,,,241,85,169,"   01  ",157,22,22,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,03,25041,"COOKS POINT (WOODBINE)","TARVER, WILLIE LEE",,,,28,0,,,28,0,,
,Oil,03,25043,"COOKS POINT (WOODBINE)","VINCE COURT UNIT",,,,146,0,,,146,0,,
,Oil,03,25054,"COOKS POINT (WOODBINE)","BOX KELLY UNIT",,,8146,13,9,15,"   01  ",7,5,5,"   02  "
,Oil,03,12678,"GIDDINGS (AUSTIN CHALK-3)","TEXAS A&M -A-",,,,0,0,,,0,0,,
,Oil,03,13625,"GIDDINGS (AUSTIN CHALK-3)","GIESENSCHLAG, W. H.",,,,0,0,,,0,0,,
,Oil,03,14091,"GIDDINGS (AUSTIN CHALK-3)","GIESENSCHLAG, W.H. ""B""",,,,0,0,,,0,0,,
,Oil,03,14395,"GIDDINGS (AUSTIN CHALK-3)","COWEN ""B"" UNIT",,,,62,104,59,"   01  ",107,148,148,"   02  "
,Oil,03,14696,"GIDDINGS (AUSTIN CHALK-3)","PORTER, E.B. UNIT",,,,32,0,,,32,0,,
,Oil,03,15310,"GIDDINGS (AUSTIN CHALK-3)","BALKE, I. UNIT",,,,147,0,99,"   01  ",48,0,,
,Oil,03,21201,"GIDDINGS (AUSTIN CHALK-3)","ERVIN MOORE UNIT",,,,135,0,,,135,157,157,"   02  "
,Oil,03,21415,"GIDDINGS (AUSTIN CHALK-3)",TAMU,,,,156,622,555,"   01  ",223,"2,538",812,"   01  "
,,,,,,,,,,,,,,,"1,726","   02  "
,Oil,03,21594,"GIDDINGS (AUSTIN CHALK-3)","KOVAR-PORTER UNIT",,,,141,268,348,"   01  ",61,458,458,"   02  "
Y,Oil,03,21659,"GIDDINGS (AUSTIN CHALK-3)","WALKER, MARY",,,,31,0,,,31,0,,
,Oil,03,21912,"GIDDINGS (AUSTIN CHALK-3)","GIFFORD-HILL UNIT",,,,184,220,306,"   01  ",98,709,609,"   01  "
,,,,,,,,,,,,,,,100,"   02  "
,Oil,03,22210,"GIDDINGS (AUSTIN CHALK-3)","CARRABBA BROTHERS UNIT",,,,86,3,21,"   01  ",68,0,,
,Oil,03,22497,"GIDDINGS (AUSTIN CHALK-3)",MARGRAVES-WINDHAM,,,,16,0,,,16,0,,
,Oil,03,22830,"GIDDINGS (AUSTIN CHALK-3)","TARVER-SEBESTA UNIT",,,,304,313,369,"   01  ",248,"1,739",696,"   01  "
,,,,,,,,,,,,,,,"1,043","   02  "
,Oil,03,22971,"GIDDINGS (AUSTIN CHALK-3)","NIX UNIT",,,,232,294,382,"   01  ",144,"2,384",696,"   01  "
,,,,,,,,,,,,,,,"1,688","   02  "
,Oil,03,25267,"GIDDINGS (AUSTIN CHALK-3)","SCAMARDO, LUKE M.",,,,164,158,182,"   01  ",140,689,689,"   02  "
,Oil,03,26691,"GIDDINGS (AUSTIN CHALK-3)","WINEMAN AC",,,,641,541,691,"   01  ",491,"1,609","1,609","   02  "
,Oil,03,23848,"GIDDINGS (BUDA)",REVEILLE,,,,519,557,565,"   01  ",511,"6,051",990,"   01  "
,,,,,,,,,,,,,,,"5,061","   02  "
,Oil,03,23912,"GIDDINGS (BUDA)","ELSIK, W. T.",,,5126,97,199,181,"   01  ",115,742,238,"   01  "
,,,,,,,,,,,,,,,504,"   02  "
,Oil,03,24016,"GIDDINGS (BUDA)","BUFFALO RANCH",,,,300,136,186,"   01  ",250,813,14,"   01  "
,,,,,,,,,,,,,,,799,"   02  "
,Oil,03,24073,"GIDDINGS (BUDA)","LEONE UNIT",,,,81,351,349,"   01  ",83,405,132,"   01  "
,,,,,,,,,,,,,,,273,"   02  "
,Oil,03,25015,"GIDDINGS (BUDA)","WARREN THOMAS UNIT",,,,109,55,,,164,20,20,"   02  "
,Oil,03,25185,"GIDDINGS (BUDA)",BROOKS,,,,171,10,151,"   01  ",30,4,4,"   02  "
,Oil,03,25305,"GIDDINGS (BUDA)","J. ANTHONY UNIT",,,,80,40,,,120,2,2,"   02  "
,Gas,03,186375,"GIDDINGS (BUDA)","PATTERSON-CLARK UNIT","    1DL",,,52,0,,,52,"1,964","1,964","   02  "
,Gas,03,242994,"GIDDINGS (BUDA)","BALKE, I.","    1  ",,,0,0,,,0,0,,
,Gas,03,247094,"GIDDINGS (BUDA)",DALBOSCO," E  1  ",,,72,21,,,93,"1,409",90,"   01  "
,,,,,,,,,,,,,,,"1,319","   02  "
,Gas,03,251250,"GIDDINGS (BUDA)","BUTAUD E","    1  ",,,68,37,,,105,"5,575",725,"   01  "
,,,,,,,,,,,,,,,"4,850","   02  "
,Gas,03,253389,"GIDDINGS (BUDA)","WELLS E","    1H ",,,70,3,,,73,438,438,"   02  "
,Oil,03,25110,"GIDDINGS (EAGLEFORD)","W. H. GIESENSCHLAG C",,,,217,48,170,"   01  ",95,45,45,"   02  "
,Oil,03,25135,"GIDDINGS (EAGLEFORD)","M S KAVANAUGH UNIT",,,,79,35,,,114,13,13,"   02  "
,Oil,03,25136,"GIDDINGS (EAGLEFORD)","VINCE COURT UNIT A",,,,141,47,,,188,93,93,"   02  "
,Oil,03,25139,"GIDDINGS (EAGLEFORD)","LEON CASH UNIT",,,,139,0,,,139,0,,
,Oil,03,25148,"GIDDINGS (EAGLEFORD)","W H GIESENSCHLAG",,,5361,94,1,,,95,2,2,"   02  "
,Oil,03,25155,"GIDDINGS (EAGLEFORD)","KOVAR PORTER UNIT",,,,50,6,25,"   01  ",31,3,3,"   02  "
,Oil,03,25160,"GIDDINGS (EAGLEFORD)","WILLIE LEE TARVER UNIT C",,,,191,87,187,"   01  ",91,341,341,"   02  "
,Oil,03,25163,"GIDDINGS (EAGLEFORD)","D A NOVOSAD",,,,108,0,,,108,0,,
,Oil,03,25165,"GIDDINGS (EAGLEFORD)","HELWEG, W.",,,,39,22,,,61,3,3,"   02  "
,Oil,03,25176,"GIDDINGS (EAGLEFORD)","FICK, C. O.",,,,158,49,167,"   01  ",40,41,41,"   02  "
,Oil,03,25192,"GIDDINGS (EAGLEFORD)","GIESENSCHLAG, W. H. ""C"" GAS UNI",,,5361,46,1,,,47,11,11,"   02  "
,Oil,03,25251,"GIDDINGS (EAGLEFORD)",HULLABALOO,,,,165,144,168,"   01  ",141,130,130,"   02  "
,Oil,03,25268,"GIDDINGS (EAGLEFORD)","HAZEL J. CHACHERE OIL UNIT",,,,301,224,368,"   01  ",157,105,105,"   02  "
Y,Oil,03,25281,"GIDDINGS (EAGLEFORD)",REVEILLE,,T,,126,710,692,"   01  ",144,"3,053",834,"   01  "
,,,,,,,,,,,,,,,"2,219","   02  "
,,03,25281,"GIDDINGS (EAGLEFORD)",REVEILLE,,,5487,36,709,692,"   01  ",53,0,,
,,03,25281,"GIDDINGS (EAGLEFORD)",REVEILLE,,,9999,90,1,,,91,0,,
,Oil,03,25306,"GIDDINGS (EAGLEFORD)","A B CHILDERS",,,,200,185,180,"   01  ",205,85,85,"   02  "
,Oil,03,25332,"GIDDINGS (EAGLEFORD)",ELSIK,,,,147,35,,,182,0,,
,Oil,03,25333,"GIDDINGS (EAGLEFORD)","RESER-SANDERS UNIT",,,,190,27,,,217,165,36,"   01  "
,,,,,,,,,,,,,,,129,"   02  "
,Oil,03,25432,"GIDDINGS (EAGLEFORD)",GIESENSCHLAG-GROCE,,,,255,253,186,"   01  ",322,196,196,"   02  "
,Oil,03,25442,"GIDDINGS (EAGLEFORD)","FENN RANCH UNIT",,,,197,518,577,"   01  ",138,180,180,"   02  "
Y,Oil,03,26928,"GIDDINGS (EAGLEFORD)",LAMBERT,,,5507,240,"7,205","7,071","   01  ",374,"30,493",204,"   01  "
,,,,,,,,,,,,,,,"30,276","   02  "
,,,,,,,,,,,,,,,13,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
Y,Oil,03,26962,"GIDDINGS (EAGLEFORD)",HARVEY,,,5507,226,"5,726","5,654","   01  ",298,"27,078",203,"   01  "
,,,,,,,,,,,,,,,"26,862","   02  "
,,,,,,,,,,,,,,,13,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
Y,Oil,03,26997,"GIDDINGS (EAGLEFORD)","R&B STETZ UNIT",,,5495,423,"12,166","12,313","   01  ",276,"15,206",423,"   01  "
,,,,,,,,,,,,,,,"14,783","   02  "
,Oil,03,27053,"GIDDINGS (EAGLEFORD)","LAWN MOWER UNIT",,,,477,"4,412","4,432","   01  ",457,"1,373","1,373","   02  "
,Oil,03,27088,"GIDDINGS (EAGLEFORD)",KIMBER,,,,434,"4,180","4,379","   01  ",235,"15,964","15,964","   02  "
